id	T02	T04	T06	T08	T10	T12	T14	T01	T03	T05	T07	T09	T11	T13
Aaas	4341	4052	3762	3473	2894	3193	3706	2574	2760	2512	3014	3266	3517	3768
Aacs	11693	10913	10134	9354	7795	6784	8448	6011	4736	5480	6576	7124	7672	8220
Aadac	0	0	0	0	0	0	0	0	0	2	2	3	3	3
Aadacl2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aadacl3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aadat	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aaed1	1173	1095	1017	938	782	773	1113	1547	1848	1477	1772	1920	2068	2216
Aagab	2618	2443	2269	2094	1745	1791	1734	1329	1272	1245	1494	1619	1743	1868
Aak1	4239	3956	3674	3391	2826	2884	2345	3508	4299	4060	4872	5278	5684	6090
Aamdc	165	154	143	132	110	117	155	160	176	140	168	182	196	210
Aamp	7656	7146	6635	6125	5104	5362	6648	5797	5694	5370	6444	6981	7518	8055
Aanat	2	1	1	1	1	1	0	0	3	0	0	0	0	0
Aar2	2585	2412	2240	2068	1723	1505	1567	1911	1799	1943	2332	2526	2720	2915
Aard	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aars	31701	29588	27474	25361	21134	24866	35042	15756	18577	17347	20816	22551	24286	26021
Ankrd16	953	889	826	762	635	805	977	798	1034	908	1090	1180	1271	1362
Ankrd17	14742	13759	12776	11794	9828	7901	8243	10136	11311	12074	14489	15696	16904	18111
Ankrd2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd22	11	10	9	8	7	32	13	0	0	0	0	0	0	0
Ankrd23	200	186	173	160	133	256	211	132	188	123	148	160	172	185
Ankrd24	89	83	77	71	59	100	120	117	255	149	179	194	209	224
Ankrd26	2862	2671	2480	2290	1908	1880	1461	1426	1635	1903	2284	2474	2664	2855
Ankrd27	5942	5545	5149	4753	3961	4159	3352	3714	3887	3844	4613	4997	5382	5766
Ankrd28	9635	8992	8350	7708	6423	5429	4777	10006	10456	9840	11808	12792	13776	14760
Ankrd29	108	101	94	86	72	99	95	137	170	113	136	147	158	170
Ankrd32	2652	2475	2298	2122	1768	1983	1842	1622	1969	1919	2303	2495	2687	2879
Ankrd33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd33b	140	130	121	112	93	106	77	531	503	430	516	559	602	645
Ankrd34a	0	0	0	0	0	4	1	7	8	7	8	9	10	11
Ankrd34b	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd34c	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd35	20	18	17	16	13	27	13	20	12	13	16	17	18	20
Ankrd36	2	1	1	1	1	0	0	0	0	0	0	0	0	0
Ankrd37	113	105	98	90	75	218	155	175	112	189	227	246	265	284
Ankrd39	377	351	326	301	251	349	330	305	302	283	340	368	396	425
Ankrd40	9057	8453	7849	7246	6038	6349	6290	4222	4983	4353	5224	5659	6094	6530
Ankrd42	246	230	213	197	164	139	165	120	164	184	221	239	258	276
Ankrd44	536	500	464	428	357	379	520	174	202	195	234	254	273	293
Ankrd45	0	0	0	0	0	1	11	2	11	4	5	5	6	6
Ankrd46	3951	3688	3424	3161	2634	2979	3860	2846	3339	2820	3384	3666	3948	4230
Ankrd49	1571	1466	1361	1256	1047	1121	1401	1010	1120	1136	1363	1477	1590	1704
Ankrd50	4452	4155	3858	3562	2968	2686	2382	1614	1797	1665	1998	2165	2331	2498
Ankrd52	10568	9863	9159	8454	7045	6456	3917	5425	5291	5926	7111	7704	8296	8889
Ankrd53	30	28	26	24	20	21	12	8	3	7	8	9	10	11
Ankrd54	4143	3867	3591	3314	2762	2867	3776	3050	3006	3126	3751	4064	4376	4689
Ankrd55	104	97	90	83	69	95	163	52	46	49	59	64	69	74
Ankrd6	44	41	38	35	29	34	41	136	221	176	211	229	246	264
Ankrd60	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ap1s2	3519	3284	3050	2815	2346	2271	2412	1647	1851	1662	1994	2161	2327	2493
Ap1s3	1466	1368	1270	1172	977	862	957	628	781	773	928	1005	1082	1160
Ap2a1	8423	7861	7300	6738	5615	5376	5041	5629	4693	5319	6383	6915	7447	7979
Ap2a2	11352	10595	9838	9082	7568	7049	6458	6351	5876	6131	7357	7970	8583	9197
Ap2b1	19428	18133	16838	15542	12952	12195	11489	8693	9506	9337	11204	12138	13072	14006
Ap2m1	16908	15781	14654	13526	11272	10945	12018	9953	9113	9718	11662	12633	13605	14577
Ap2s1	4539	4236	3934	3631	3026	2783	3261	2958	2430	2591	3109	3368	3627	3887
Ap3b1	5667	5289	4911	4534	3778	4025	4617	3751	4855	3954	4745	5140	5536	5931
Ap3b2	0	0	0	0	0	1	2	1	0	5	6	7	7	8
Ap3d1	8985	8386	7787	7188	5990	7099	7381	6082	7795	6822	8186	8869	9551	10233
Ap3m1	5999	5599	5199	4799	3999	3278	3626	3519	3533	3851	4621	5006	5391	5777
Ap3m2	411	384	356	329	274	448	572	277	341	254	305	330	356	381
Ap3s1	3966	3702	3437	3173	2644	2421	3376	2610	2521	2933	3520	3813	4106	4400
Ap3s2	2765	2580	2396	2212	1843	1852	1922	1605	1716	1538	1846	1999	2153	2307
